Name,Address,Category,Website,Notes
Barb's Fish & Chips,1 Dallas Rd Victoria BC V8V 0B2,Attraction,barbsfishandchips.com,Article says skip it
Jackson's Ice Cream Float,1 Dallas Rd Victoria BC V8V 0B2,Attraction,,Article recommends over Barb's
BC Parliament Buildings,501 Belleville St Victoria BC,Landmark,,Legislative Dining Room
Royal BC Museum,675 Belleville St Victoria BC,Attraction,,
Butchart Gardens,800 Benvenuto Ave Brentwood Bay BC,Attraction,,Outside Victoria - 20min drive
Fisherman's Wharf,1 Dallas Rd Victoria BC V8V 0B2,Landmark,,Barb's + Jackson's both here
