Name,Address,Category,Website,Notes
The Fairmont Empress,721 Government St Victoria BC V8W 1W5,Hotel,fairmont.com/empress-victoria,Afternoon Tea + Bengal + Veranda all same pin
Hotel Grand Pacific,463 Belleville St Victoria BC,Hotel,hotelgrandpacific.com,Ownership changed to InnVest Apr 2026
Coast Victoria Hotel & Marina by APA,146 Kingston St Victoria BC,Hotel,coasthotels.com,
Huntingdon Hotel & Suites,330 Quebec St Victoria BC,Hotel,huntingdonhotelandsuites.com,Near CFB Esquimalt section
Chateau Victoria Hotel & Suites,740 Burdett Ave Victoria BC,Hotel,chateauvictoria.com,Clive's Classic Lounge is inside
Inn at Laurel Point,680 Montreal St Victoria BC,Hotel,laurelpoint.com,Aura restaurant inside
The Parkside Hotel & Spa,810 Humboldt St Victoria BC,Hotel,parksidevictoria.com,Digital Desks coworking is inside
Oak Bay Beach Hotel,1175 Beach Dr Victoria BC,Hotel,,Western Angel Investment Summit venue
Delta Hotels Victoria Ocean Pointe,100 Harbour Rd Victoria BC,Hotel,,Not in outreach CSV - gap to plug
