Name,Address,Category,Website,Notes
Category 12 Brewing,2200 Keating Cross Rd Saanichton BC V8M 2A6,Brewery,category12beer.com,Saanich - note this is outside downtown
Phillips Brewing & Malting Co.,2010 Government St Victoria BC,Brewery,phillipsbeer.com,Beer on tap at Watershed
Driftwood Brewery,102-450 Hillside Ave Victoria BC,Brewery,driftwoodbeer.com,Fat Tug IPA
Clive's Classic Lounge,740 Burdett Ave Victoria BC,Bar,clivesclassiclounge.com,World's 50 Best Bars Discovery list; inside Chateau Victoria
Union Club of BC,805 Gordon St Victoria BC,Bar / Private Club,unionclub.com,Post-VIATEC event VIP receptions
